speaker,recording,vowel_id,pre_word,word,fol_word,raw_label,phoneme,in_word_index,condition,formant,rmse_hz
F1,usctimit_f1_011_015,0-0-13-4,exam,review,every,uw,u,0,nvidia,F2,104.83786547872425
F1,usctimit_f1_011_015,0-0-13-4,exam,review,every,uw,u,0,nvidia,F3,31.406598823769702
F1,usctimit_f1_011_015,0-0-14-3,review,every,formula,iy,i,0,orig_mri,F1,133.13303662163082
F1,usctimit_f1_011_015,0-0-14-3,review,every,formula,iy,i,0,orig_mri,F2,707.571879076238
F1,usctimit_f1_011_015,0-0-14-3,review,every,formula,iy,i,0,orig_mri,F3,1805.2430225209891
F1,usctimit_f1_011_015,0-0-14-3,review,every,formula,iy,i,0,meta,F1,85.16492120400287
F1,usctimit_f1_011_015,0-0-14-3,review,every,formula,iy,i,0,meta,F2,652.2926803232922
F1,usctimit_f1_011_015,0-0-14-3,review,every,formula,iy,i,0,meta,F3,1699.4491265697484
F1,usctimit_f1_011_015,0-0-14-3,review,every,formula,iy,i,0,nvidia,F1,59.55094405736029
F1,usctimit_f1_011_015,0-0-14-3,review,every,formula,iy,i,0,nvidia,F2,278.13303232330475
F1,usctimit_f1_011_015,0-0-14-3,review,every,formula,iy,i,0,nvidia,F3,1593.0254678999115
F1,usctimit_f1_011_015,0-0-21-3,musicians,every,evening,iy,i,0,orig_mri,F1,114.16261953145802
F1,usctimit_f1_011_015,0-0-21-3,musicians,every,evening,iy,i,0,orig_mri,F2,844.0451056758885
F1,usctimit_f1_011_015,0-0-21-3,musicians,every,evening,iy,i,0,orig_mri,F3,463.77670227540074
F1,usctimit_f1_011_015,0-0-21-3,musicians,every,evening,iy,i,0,meta,F1,103.2981101969145
F1,usctimit_f1_011_015,0-0-21-3,musicians,every,evening,iy,i,0,meta,F2,191.34339240422764
F1,usctimit_f1_011_015,0-0-21-3,musicians,every,evening,iy,i,0,meta,F3,100.31483021962273
